Name                      Stmts   Miss  Cover
---------------------------------------------
app\__init__.py               0      0   100%
app\api\__init__.py           0      0   100%
app\api\v1\__init__.py       10      0   100%
app\api\v1\admin.py          42      1    98%
app\api\v1\analytics.py      81     14    83%
app\api\v1\auth.py           31      1    97%
app\api\v1\clients.py        77      6    92%
app\api\v1\contacts.py       53      4    92%
app\api\v1\deals.py          86      8    91%
app\api\v1\tasks.py          71      9    87%
app\core\__init__.py          0      0   100%
app\core\config.py           13      0   100%
app\core\database.py         11      4    64%
app\core\security.py         40      2    95%
app\main.py                  16      0   100%
app\models\__init__.py        6      0   100%
app\models\client.py         22      0   100%
app\models\contact.py        21      1    95%
app\models\deal.py           25      0   100%
app\models\task.py           24      0   100%
app\models\user.py           17      0   100%
app\schemas\__init__.py       0      0   100%
app\schemas\client.py        45      0   100%
app\schemas\contact.py       27      0   100%
app\schemas\deal.py          34      0   100%
app\schemas\task.py          32      0   100%
app\schemas\user.py          27      0   100%
---------------------------------------------
TOTAL                       811     50    94%
